Date,Stock_Price,Strike,Expiry,Days_to_Exp,Actual_Put,BSM_Put,Actual_Call,BSM_Call,Synthetic_Actual,Synthetic_BSM,Parity_RHS
2025-08-29,3601.0,3600.0,30-Sep-2025,32,57.2,98.79651007074449,76.25,118.68377672189717,3658.2,3699.7965100707443,3657.3627333488475
2025-09-01,3598.4,3600.0,30-Sep-2025,29,55.8,95.65705768244948,70.0,111.17786060573576,3654.2000000000003,3694.0570576824493,3652.879197076714
2025-09-02,3574.9,3550.0,30-Sep-2025,28,46.2,81.15082081417427,87.0,122.35300071562551,3621.1,3656.0508208141746,3620.6978200985486
2025-09-03,3600.8,3600.0,30-Sep-2025,27,56.25,91.51201575355913,69.15,108.25469213611018,3657.05,3692.3120157535595,3653.207323617449
2025-09-04,3592.6,3600.0,30-Sep-2025,26,59.1,93.76870621227044,61.5,101.72217406005734,3651.7,3686.3687062122704,3646.1465321522132
2025-09-05,3553.6,3550.0,30-Sep-2025,25,46.3,85.8176415793996,65.15,103.97674621647411,3599.9,3639.4176415793995,3600.5908953629255
2025-09-08,3529.6,3550.0,30-Sep-2025,22,53.05,92.32905036528246,50.45,84.74421992722864,3582.65,3621.9290503652824,3587.6348304380535
2025-09-09,3525.0,3500.0,30-Sep-2025,21,33.45,68.53187844944614,76.05,105.59324001214691,3558.45,3593.531878449446,3563.9886384372994
2025-09-10,3550.0,3550.0,30-Sep-2025,20,40.9,78.92730025059677,59.0,90.57936854705122,3590.9,3628.927300250597,3597.347931703546
2025-09-11,3539.7,3550.0,30-Sep-2025,19,46.75,81.98591328462112,50.55,82.75628753656747,3586.45,3621.685913284621,3589.479625748054
2025-09-12,3579.8,3600.0,30-Sep-2025,18,49.1,86.07100888925811,38.85,76.50732001125903,3628.9,3665.8710088892585,3628.213688877999
2025-09-15,3586.2,3600.0,30-Sep-2025,15,42.7,76.70409244308803,42.55,71.7698698693805,3628.8999999999996,3662.904092443088,3633.6842225737073
2025-09-16,3667.8,3650.0,30-Sep-2025,14,27.7,60.66521515773729,56.75,86.85555681487335,3695.5,3728.4652151577375,3698.3596583428643
2025-09-17,3685.5,3700.0,30-Sep-2025,13,40.85,74.36494939582212,41.85,67.76335631138886,3726.35,3759.864949395822,3733.951593084433
