Date,Stock_Price,Strike,Expiry,Days_to_Exp,Actual_Put,Actual_Call,Synthetic_Call_Cost,Actual_Call_Cost,PV_K,Parity_LHS,Parity_RHS,Parity_Error
2025-08-29,3601.0,3600.0,30-Sep-2025,32,57.2,76.25,3658.2,76.25,3581.1127333488475,3657.3627333488475,3658.2,0.8372666511522766
2025-09-01,3598.4,3600.0,30-Sep-2025,29,55.8,70.0,3654.2000000000003,70.0,3582.879197076714,3652.879197076714,3654.2000000000003,1.3208029232864646
2025-09-02,3574.9,3550.0,30-Sep-2025,28,46.2,87.0,3621.1,87.0,3533.6978200985486,3620.6978200985486,3621.1,0.4021799014512908
2025-09-03,3600.8,3600.0,30-Sep-2025,27,56.25,69.15,3657.05,69.15,3584.057323617449,3653.207323617449,3657.05,3.8426763825509624
2025-09-04,3592.6,3600.0,30-Sep-2025,26,59.1,61.5,3651.7,61.5,3584.6465321522132,3646.1465321522132,3651.7,5.553467847786578
2025-09-05,3553.6,3550.0,30-Sep-2025,25,46.3,65.15,3599.9,65.15,3535.4408953629254,3600.5908953629255,3599.9,-0.6908953629254029
2025-09-08,3529.6,3550.0,30-Sep-2025,22,53.05,50.45,3582.65,50.45,3537.1848304380537,3587.6348304380535,3582.65,-4.98483043805345
2025-09-09,3525.0,3500.0,30-Sep-2025,21,33.45,76.05,3558.45,76.05,3487.9386384372992,3563.9886384372994,3558.45,-5.538638437299596
2025-09-10,3550.0,3550.0,30-Sep-2025,20,40.9,59.0,3590.9,59.0,3538.347931703546,3597.347931703546,3590.9,-6.447931703545692
2025-09-11,3539.7,3550.0,30-Sep-2025,19,46.75,50.55,3586.45,50.55,3538.9296257480537,3589.479625748054,3586.45,-3.029625748054059
2025-09-12,3579.8,3600.0,30-Sep-2025,18,49.1,38.85,3628.9,38.85,3589.3636888779993,3628.213688877999,3628.9,0.6863111220009159
2025-09-15,3586.2,3600.0,28-Oct-2025,43,80.0,99.6,3666.2,99.6,3574.6431476028188,3674.2431476028187,3666.2,-8.043147602818863
2025-09-16,3667.8,3650.0,28-Oct-2025,42,66.9,113.3,3734.7000000000003,113.3,3624.8867919256336,3738.1867919256338,3734.7000000000003,-3.486791925633497
2025-09-17,3685.5,3700.0,28-Oct-2025,41,78.65,98.95,3764.15,98.95,3675.146859454885,3774.096859454885,3764.15,-9.946859454884816
2025-09-18,3686.0,3700.0,28-Oct-2025,40,76.6,94.65,3762.6,94.65,3675.751042842754,3770.401042842754,3762.6,-7.801042842754214
2025-09-19,3675.4,3700.0,28-Oct-2025,39,81.5,90.45,3756.9,90.45,3676.3553255566044,3766.805325556604,3756.9,-9.905325556604112
2025-09-22,3644.5,3650.0,28-Oct-2025,36,70.55,95.65,3715.05,95.65,3628.4637864414317,3724.113786441432,3715.05,-9.063786441431603
2025-09-23,3657.6,3650.0,28-Oct-2025,35,61.25,102.5,3718.85,102.5,3629.060295268722,3731.560295268722,3718.85,-12.710295268721893
2025-09-24,3673.8,3650.0,28-Oct-2025,34,57.45,110.95,3731.25,110.95,3629.656902160318,3740.606902160318,3731.25,-9.356902160317986
2025-09-25,3644.4,3650.0,28-Oct-2025,33,68.55,93.0,3712.9500000000003,93.0,3630.2536071323407,3723.2536071323407,3712.9500000000003,-10.303607132340403
