Strike,Expiry,Call_LTP,Call_Bid,Call_Ask,Call_OI,Call_IV,Put_LTP,Put_Bid,Put_Ask,Put_OI,Put_IV,Moneyness,Expiry_Date,Days_To_Expiry
3600,27-Jan-2026,0.0,479.95,565.75,0,0.0,5.0,2.65,9.75,10,0.0,ITM,2026-01-27,58
3920,27-Jan-2026,170.0,190.35,280.35,1,0.0,0.0,0.0,63.9,0,0.0,ITM,2026-01-27,58
4000,27-Jan-2026,189.0,166.6,193.75,45,15.44,65.4,58.3,64.05,80,19.26,ITM,2026-01-27,58
4100,27-Jan-2026,123.75,119.7,126.75,41,15.02,102.0,93.9,110.55,44,18.91,OTM,2026-01-27,58
4120,27-Jan-2026,90.0,93.6,132.8,8,0.0,0.0,0.0,134.0,0,0.0,OTM,2026-01-27,58
4160,27-Jan-2026,0.0,0.0,119.85,0,0.0,120.9,110.35,154.1,2,17.36,OTM,2026-01-27,58
4200,27-Jan-2026,76.0,72.7,91.95,86,15.01,152.0,142.3,172.7,11,0.0,OTM,2026-01-27,58
4220,27-Jan-2026,0.0,0.0,88.8,0,0.0,160.25,160.55,196.1,2,18.23,OTM,2026-01-27,58
4300,27-Jan-2026,48.0,43.3,55.55,83,15.87,0.0,207.05,247.0,0,0.0,OTM,2026-01-27,58
3200,30-Dec-2025,882.0,889.0,907.6,5,0.0,0.5,0.5,1.35,70,32.63,ITM,2025-12-30,30
3280,30-Dec-2025,770.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0,,ITM,2025-12-30,30
3360,30-Dec-2025,0.0,0.0,0.0,0,,0.6,0.2,0.95,49,0.0,ITM,2025-12-30,30
3400,30-Dec-2025,720.0,610.2,749.35,51,0.0,0.35,0.35,2.0,3,0.0,ITM,2025-12-30,30
3440,30-Dec-2025,0.0,0.0,0.0,0,,3.0,0.05,2.9,2,0.0,ITM,2025-12-30,30
3480,30-Dec-2025,0.0,0.0,0.0,0,,0.35,0.1,20.0,3,0.0,ITM,2025-12-30,30
3520,30-Dec-2025,530.0,566.95,604.85,1,0.0,0.0,0.0,0.0,0,,ITM,2025-12-30,30
3560,30-Dec-2025,0.0,0.0,0.0,0,,1.6,0.85,1.5,50,23.14,ITM,2025-12-30,30
3600,30-Dec-2025,414.0,488.75,518.55,43,0.0,1.15,1.15,1.3,490,20.6,ITM,2025-12-30,30
3640,30-Dec-2025,0.0,447.9,478.9,0,0.0,5.95,1.0,4.9,37,0.0,ITM,2025-12-30,30
3660,30-Dec-2025,407.0,425.4,458.9,2,0.0,6.2,0.6,5.0,22,0.0,ITM,2025-12-30,30
3680,30-Dec-2025,0.0,410.45,447.0,0,0.0,1.8,1.75,2.5,355,18.85,ITM,2025-12-30,30
3700,30-Dec-2025,430.0,392.05,411.65,93,0.0,2.45,2.45,2.55,960,19.01,ITM,2025-12-30,30
3720,30-Dec-2025,0.0,371.15,407.9,0,0.0,3.0,2.35,2.9,78,18.85,ITM,2025-12-30,30
