Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
LT,28-Nov-2025,24-Feb-2026,CE,4280.00,-,-,-,126.60,-,115.35,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,CE,4000.00,-,-,-,241.25,-,244.40,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,CE,4560.00,-,-,-,59.85,-,46.00,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,CE,4400.00,-,-,-,93.15,-,79.40,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,CE,4320.00,-,-,-,114.45,-,102.20,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,CE,4160.00,-,-,-,169.15,-,162.45,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,CE,3880.00,-,-,-,307.55,-,320.50,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4480.00,2.75,3.75,1.55,2.10,2.20,2.10,87.00,682.42,0.34,190225.00,2975.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,3720.00,-,-,-,205.45,-,377.00,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,3780.00,-,-,-,286.05,286.05,323.30,-,-,-,175.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4520.00,1.20,3.00,1.00,2.10,1.80,2.10,63.00,498.55,0.22,27650.00,4375.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,3280.00,-,-,-,770.00,770.00,806.10,-,-,-,2450.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4080.00,90.05,99.00,75.55,82.55,84.75,82.55,1232.00,8984.06,187.58,78050.00,25025.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4020.00,127.70,138.50,111.00,119.35,122.00,119.35,50.00,362.83,11.08,49350.00,875.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,3200.00,882.00,882.00,882.00,882.00,882.00,885.70,4.00,28.57,6.17,875.00,525.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4140.00,57.05,67.60,49.00,53.30,55.00,53.30,1367.00,10039.55,135.63,193025.00,-9450.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4560.00,-,-,-,19.45,-,5.90,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,3900.00,232.05,233.05,201.05,205.00,205.00,225.45,37.00,266.49,13.96,192325.00,-350.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4320.00,12.25,15.40,9.95,10.65,11.60,10.65,212.00,1607.00,4.28,81900.00,-2625.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4100.00,80.05,87.95,66.00,72.15,73.65,72.15,4344.00,31753.72,585.52,372050.00,40600.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,3600.00,-,-,-,414.00,414.00,490.25,-,-,-,7525.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,3920.00,198.00,211.35,186.50,190.00,189.25,190.00,13.00,93.58,4.40,8225.00,175.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4260.00,21.00,26.25,17.50,19.25,20.45,19.25,156.00,1168.68,5.70,41825.00,1400.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4240.00,27.10,31.15,20.85,23.80,24.05,23.80,529.00,3946.80,21.62,113400.00,42175.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,3960.00,164.30,182.20,156.35,156.35,156.35,182.70,14.00,101.20,4.18,19775.00,700.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,3640.00,-,-,-,244.70,-,451.85,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,3680.00,-,-,-,224.50,-,414.05,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4280.00,17.00,22.05,14.50,15.65,16.80,15.65,260.00,1955.15,7.75,72450.00,-12075.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4040.00,106.90,124.50,98.50,106.90,108.25,106.90,256.00,1858.77,48.85,89425.00,4375.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4160.00,51.50,58.40,42.00,45.95,46.55,45.95,662.00,4877.00,57.64,70525.00,2625.00,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,3700.00,-,-,-,430.00,430.00,395.40,-,-,-,16275.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4360.00,-,-,-,37.00,37.00,24.60,-,-,-,175.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,CE,4300.00,15.15,18.55,11.95,13.85,13.95,13.85,913.00,6893.13,22.80,73850.00,26775.00,4069.60
