Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
LT,28-Nov-2025,27-Jan-2026,PE,3840.00,-,-,-,131.70,-,46.95,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3980.00,32.95,33.00,23.85,28.90,28.15,28.90,209.00,1466.52,10.84,38150.00,1050.00,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,4160.00,-,-,-,269.75,-,195.60,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4560.00,-,-,-,851.40,-,473.40,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4080.00,67.00,70.00,53.35,63.20,62.20,63.20,943.00,6834.67,101.65,96075.00,12075.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4100.00,75.95,79.90,61.85,74.15,71.85,74.15,1971.00,14386.72,244.79,266350.00,175.00,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3680.00,-,-,-,79.80,-,18.90,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,4400.00,-,-,-,430.15,-,349.25,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4480.00,-,-,-,514.30,-,402.95,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4080.00,-,-,-,243.75,-,132.75,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3960.00,-,-,-,182.60,-,82.50,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,3600.00,-,-,-,51.05,-,21.25,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4000.00,34.00,38.75,28.15,35.05,33.55,35.05,2233.00,15765.01,134.01,358225.00,175.00,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4240.00,-,-,-,340.55,-,223.45,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,4480.00,-,-,-,490.75,-,409.60,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4160.00,120.90,120.90,120.90,120.90,120.90,174.80,2.00,14.98,0.42,350.00,350.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4240.00,155.35,172.00,149.90,161.45,161.20,161.45,17.00,130.89,4.75,10325.00,-175.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4400.00,300.00,303.80,283.35,303.40,303.00,303.40,10.00,82.13,5.13,7700.00,525.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3360.00,-,-,-,0.60,0.60,0.10,-,-,-,8575.00,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4300.00,-,-,-,340.45,-,263.95,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3800.00,-,-,-,117.00,-,38.10,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4320.00,-,-,-,205.50,205.50,260.30,-,-,-,350.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4040.00,49.95,52.80,39.15,47.65,45.80,47.65,895.00,6400.82,73.17,71925.00,-11375.00,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,3880.00,-,-,-,132.40,-,77.50,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4120.00,-,-,-,266.35,-,152.95,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3680.00,2.25,2.25,1.80,1.80,1.80,5.95,6.00,38.66,0.02,62125.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3480.00,-,-,-,0.35,0.35,0.60,-,-,-,525.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3720.00,2.95,3.00,2.80,2.95,3.00,2.95,18.00,117.27,0.09,13650.00,2450.00,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3760.00,-,-,-,103.45,-,30.50,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,4200.00,-,-,-,293.95,-,218.00,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3760.00,4.95,5.20,3.60,4.10,3.60,4.10,78.00,513.84,0.60,89950.00,-3850.00,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4100.00,95.00,107.00,94.00,102.00,102.00,102.00,14.00,102.92,2.47,7700.00,2450.00,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,4560.00,-,-,-,554.45,-,473.65,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4060.00,58.55,61.95,45.80,56.25,54.00,56.25,1177.00,8475.21,112.62,111300.00,8575.00,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4560.00,-,-,-,578.40,-,471.45,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,3960.00,-,-,-,165.80,-,104.30,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4200.00,-,-,-,152.00,152.00,198.35,-,-,-,1925.00,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4400.00,-,-,-,453.15,-,338.25,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4040.00,-,-,-,222.20,-,114.30,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4280.00,-,-,-,367.25,-,250.05,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,4320.00,-,-,-,372.65,-,293.10,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3900.00,15.00,16.70,11.40,13.95,13.60,13.95,432.00,2959.06,10.66,332150.00,24325.00,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3720.00,-,-,-,90.95,-,24.15,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,4080.00,-,-,-,224.70,-,154.85,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4440.00,-,-,-,483.40,-,370.05,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3740.00,-,-,-,3.20,3.20,10.40,-,-,-,3850.00,-,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,3840.00,-,-,-,117.45,-,66.05,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3700.00,2.90,2.90,2.35,2.45,2.45,2.45,103.00,667.37,0.45,168000.00,6125.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3560.00,2.00,2.00,1.45,1.60,1.60,1.60,66.00,411.38,0.20,8750.00,8400.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3840.00,-,-,-,278.20,-,23.60,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4180.00,-,-,-,258.70,-,186.35,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4160.00,109.65,115.35,92.40,108.80,104.10,108.80,128.00,954.92,23.08,40775.00,-8400.00,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,3760.00,-,-,-,91.00,-,46.90,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3600.00,1.55,1.75,1.00,1.15,1.15,1.15,51.00,321.42,0.12,85750.00,3150.00,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,4040.00,-,-,-,203.90,-,136.60,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3920.00,17.50,19.35,14.25,17.75,17.30,17.75,70.00,482.31,2.11,20825.00,2975.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4280.00,178.00,199.55,177.30,197.30,192.80,197.30,28.00,218.85,9.13,26950.00,1750.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4440.00,-,-,-,678.20,-,362.50,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,3680.00,-,-,-,69.00,-,32.15,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4120.00,82.00,91.10,71.30,83.45,81.55,83.45,670.00,4928.10,97.40,41650.00,4025.00,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3860.00,-,-,-,99.05,-,51.95,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4220.00,160.25,160.25,160.25,160.25,160.25,210.70,2.00,15.33,0.56,350.00,350.00,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,4280.00,-,-,-,345.40,-,266.80,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4180.00,122.10,124.00,106.25,124.00,124.00,158.95,25.00,187.75,4.88,7175.00,-175.00,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4260.00,-,-,-,312.00,-,236.55,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4200.00,139.95,145.90,117.30,130.80,131.35,130.80,388.00,2941.84,90.04,57050.00,175.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4360.00,-,-,-,671.95,-,293.10,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4060.00,-,-,-,188.40,-,123.30,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3940.00,10.00,23.45,10.00,20.85,19.85,20.85,100.00,693.16,3.66,33425.00,2625.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3440.00,-,-,-,3.00,3.00,0.35,-,-,-,350.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3820.00,8.15,8.45,5.65,6.80,6.40,6.80,160.00,1071.54,1.94,40250.00,9100.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3400.00,-,-,-,0.35,0.35,0.20,-,-,-,525.00,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3640.00,-,-,-,69.30,-,14.55,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3800.00,6.65,6.85,4.65,5.50,5.35,5.50,932.00,6206.26,8.46,394625.00,88900.00,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,3920.00,-,-,-,148.50,-,90.20,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3660.00,-,-,-,6.20,6.20,4.85,-,-,-,3850.00,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3940.00,-,-,-,130.55,-,75.60,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3920.00,-,-,-,164.45,-,69.10,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4520.00,-,-,-,546.00,-,436.75,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4520.00,-,-,-,468.15,468.15,435.70,-,-,-,175.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3780.00,-,-,-,50.40,50.40,14.70,-,-,-,525.00,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4140.00,-,-,-,233.95,-,163.65,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3640.00,-,-,-,5.95,5.95,3.95,-,-,-,6475.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3880.00,12.20,14.00,9.90,11.85,11.20,11.85,127.00,864.95,2.62,50925.00,9800.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3860.00,-,-,-,112.45,-,27.35,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,4120.00,-,-,-,246.70,-,174.55,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3200.00,0.50,0.50,0.50,0.50,0.50,0.05,1.00,5.60,-,12250.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4220.00,157.95,157.95,157.95,157.95,157.95,185.50,1.00,7.66,0.28,2625.00,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4020.00,-,-,-,167.70,-,105.70,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4260.00,-,-,-,158.55,158.55,214.10,-,-,-,18900.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4480.00,-,-,-,333.70,333.70,398.70,-,-,-,1400.00,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,3960.00,26.95,27.70,20.00,24.30,23.05,24.30,123.00,857.50,5.11,45150.00,1400.00,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,4240.00,-,-,-,319.15,-,241.75,-,-,-,-,-,4069.60
LT,28-Nov-2025,24-Feb-2026,PE,4000.00,-,-,-,184.30,-,119.75,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3600.00,-,-,-,5.00,5.00,11.05,-,-,-,1750.00,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3820.00,-,-,-,85.35,-,42.35,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3880.00,-,-,-,147.50,-,57.25,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4140.00,95.75,102.65,81.20,95.60,94.10,95.60,549.00,4066.89,89.39,30800.00,-1575.00,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4360.00,-,-,-,423.50,-,307.55,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3980.00,-,-,-,148.40,-,89.80,-,-,-,-,-,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4300.00,-,-,-,362.30,-,244.50,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4000.00,60.95,65.45,56.00,65.40,65.40,97.55,24.00,170.52,2.52,14000.00,1925.00,4069.60
LT,28-Nov-2025,30-Dec-2025,PE,4020.00,40.15,45.50,33.20,41.05,39.20,41.05,991.00,7041.25,69.56,62825.00,-28175.00,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,3900.00,-,-,-,114.10,-,63.00,-,-,-,-,-,4069.60
LT,28-Nov-2025,27-Jan-2026,PE,4320.00,-,-,-,394.95,-,278.15,-,-,-,-,-,4069.60
LT,27-Nov-2025,27-Jan-2026,PE,3720.00,-,-,-,90.95,-,23.40,-,-,-,-,-,4081.30
LT,27-Nov-2025,30-Dec-2025,PE,4140.00,80.00,93.60,67.90,91.55,92.15,91.55,1201.00,8868.65,167.41,32375.00,22400.00,4081.30
LT,27-Nov-2025,30-Dec-2025,PE,4480.00,360.00,360.00,327.95,333.70,333.70,388.00,6.00,50.65,3.61,1400.00,1050.00,4081.30
LT,27-Nov-2025,24-Feb-2026,PE,3600.00,-,-,-,51.05,-,20.65,-,-,-,-,-,4081.30
LT,27-Nov-2025,24-Feb-2026,PE,4000.00,-,-,-,184.30,-,116.50,-,-,-,-,-,4081.30
LT,27-Nov-2025,27-Jan-2026,PE,4260.00,-,-,-,312.00,-,230.00,-,-,-,-,-,4081.30
LT,27-Nov-2025,30-Dec-2025,PE,3740.00,2.55,3.25,2.55,3.20,3.20,10.10,29.00,189.96,0.15,3850.00,2625.00,4081.30
